id,product_id,batch_number,manufacture_date,photo_path,color_check_result,comment,created_at,avg_r,avg_g,avg_b,avg_lab,label,rus_color_name
48,67,107,2025-06-30,pictures/1751293000786_67_107.jpg,не соответствует,,2025-06-30T14:16:46.946443,177,176,154,"[71.37192673973173, -3.5094823198951186, 11.405715661542338]",,Серо-коричневый
49,71,71,2025-06-29,pictures/1751293125439_71_71.jpg,не соответствует,,2025-06-30T14:18:47.392971,172,177,168,"[71.58352910483653, -3.436071554132669, 3.9809104164387765]",,Серебряная чаша
50,62,13,2025-06-28,pictures/1751293594882_62_13.jpg,не соответствует,,2025-06-30T14:26:39.89629,170,176,172,"[71.26574569837527, -2.8636945758973575, 1.3031546573382125]",,Серебряная чаша
51,92,41,2025-06-29,pictures/1751293774856_92_41.jpg,соответствует,,2025-06-30T14:29:37.427127,171,173,163,"[70.30842328220223, -2.552389271079536, 4.8795779357877045]",,Темно-серый
52,68,39,2025-06-29,pictures/1751293979975_68_39.jpg,не соответствует,,2025-06-30T14:33:03.319538,177,174,152,"[70.79239863421967, -2.7661097036625337, 11.681339285815184]",,Серо-коричневый
53,94,16,2025-06-27,pictures/1751294110482_94_16.jpg,"Нет цветов с подстрокой: ""светло-кремовый""",,2025-06-30T14:35:12.682855,176,172,153,"[70.20048043552318, -1.90167587673995, 10.282518125244211]",,Серо-коричневый
54,68,38,2025-06-29,pictures/1751294223300_68_38.jpg,не соответствует,,2025-06-30T14:37:06.337602,171,169,156,"[69.06459879314473, -1.6300992751848153, 6.953667019397636]",,Облачно
55,69,46,2025-06-28,pictures/1751294356862_69_46.jpg,не соответствует,,2025-06-30T14:39:19.853465,182,178,149,"[72.19894343307534, -3.4961202468666297, 15.355828016314899]",,Меланжевый серый
56,73,66,2025-06-30,pictures/1751294535590_73_66.jpg,"Нет цветов с подстрокой: ""светло-кремовый""",,2025-06-30T14:42:18.248845,176,172,159,"[70.34259722741265, -0.8908468136068493, 7.1839965638545555]",,Облачно
57,93,17,2025-06-28,pictures/1751294709872_93_17.jpg,не соответствует,,2025-06-30T14:45:12.210263,175,180,172,"[72.71708149572355, -3.242502946011694, 3.4574472940372303]",,Серебряная фольга
58,96,88,2025-06-28,pictures/1751294798914_96_88.jpg,не соответствует,,2025-06-30T14:46:41.166422,174,173,161,"[70.49632712427415, -1.8172291132698692, 6.282212358439643]",,Бутон
59,95,43,2025-06-27,pictures/1751294886297_95_43.jpg,не соответствует,,2025-06-30T14:48:10.811104,171,172,164,"[70.06600317023334, -1.832326291209052, 3.9783272793152857]",,Темно-серый
60,78,95,2025-06-30,pictures/1751294975690_78_95.jpg,не соответствует,,2025-06-30T14:49:40.457709,169,171,164,"[69.64096066029808, -2.0122727464734202, 3.3435523769031583]",,Темно-серый
61,50,116,2025-06-30,pictures/1751295056246_50_116.jpg,не соответствует,,2025-06-30T14:51:04.179305,170,173,166,"[70.30629343146629, -2.366495757163467, 3.2133170439982983]",,Темно-серый
62,69,47,2025-06-30,pictures/1751378945569_69_47.jpg,не соответствует,,2025-07-01T14:09:09.224822,176,171,145,"[69.75366886069172, -2.6532757220637526, 14.04575806576256]",,Серо-коричневый
63,67,108,2025-07-01,pictures/1751379189090_67_108.jpg,не соответствует,,2025-07-01T14:13:12.751072,174,176,159,"[71.2502122804989, -3.7758364492970764, 8.460781465561173]",,Бутон
64,95,44,2025-06-30,pictures/1751379503223_95_44.jpg,не соответствует,,2025-07-01T14:18:27.199921,172,175,165,"[70.97229746602883, -2.9075835052065346, 4.746369217869351]",,Серебряная чаша
65,78,96,2025-07-01,pictures/1751379591991_78_96.jpg,не соответствует,,2025-07-01T14:19:54.471564,171,173,164,"[70.33355543235606, -2.3719753464013227, 4.364876443273724]",,Темно-серый
66,94,17,2025-07-01,pictures/1751466393613_94_17.jpg,"Нет цветов с подстрокой: ""светло-кремовый""",,2025-07-02T14:26:36.12581,177,174,155,"[70.86110985142204, -2.272677110626564, 10.133481746412754]",,Серо-коричневый
67,78,96,2025-07-01,pictures/1751466517738_78_96.jpg,не соответствует,,2025-07-02T14:28:39.914737,171,173,164,"[70.33355543235606, -2.3719753464013227, 4.364876443273724]",,Темно-серый
68,54,21,2025-07-02,pictures/1751466661090_54_21.jpg,не соответствует,,2025-07-02T14:31:03.222803,176,181,176,"[73.16264496387547, -2.6849108832948665, 1.9248955106317522]",,Серебряная фольга
69,91,23,2025-07-02,pictures/1751553179210_91_23.jpg,не соответствует,,2025-07-03T14:33:07.372835,173,177,168,"[71.66050070915657, -3.0789024008143207, 4.101938834461616]",,Серебряная фольга
70,69,49,2025-07-03,pictures/1751553302439_69_49.jpg,не соответствует,,2025-07-03T14:35:06.595492,170,165,149,"[67.74423754622272, -1.0294339290577992, 8.930023460098035]",,Напа
71,69,50,2025-07-03,pictures/1751553418959_69_50.jpg,не соответствует,,2025-07-03T14:37:02.814499,180,176,150,"[71.5250798407648, -3.0292401386167733, 13.842769764409546]",,Серо-коричневый
72,69,48,2025-07-02,pictures/1751553591130_69_48.jpg,не соответствует,,2025-07-03T14:39:58.081133,170,166,141,"[67.82971352738068, -2.8793061010619625, 13.475556662940424]",,Серый Оливковый
73,54,22,2025-07-03,pictures/1751554233911_54_22.jpg,не соответствует,,2025-07-03T14:50:36.484897,185,191,185,"[76.72664071078475, -3.190587856129745, 2.290051300957896]",,Серый (X11 серый)
74,50,120,2025-07-04,pictures/1751629012457_50_120.jpg,не соответствует,,2025-07-04T11:36:56.22184,174,176,164,"[71.37110969026146, -2.901637137330826, 5.890453550922015]",,Серебряная чаша
75,67,109,2025-07-04,pictures/1751629659365_67_109.jpg,не соответствует,,2025-07-04T11:47:40.369838,186,185,181,"[75.12242900636417, -0.3788566728982756, 2.140527926918945]",,Розовый лебедь
76,68,40,2025-07-03,pictures/1751630620484_68_40.jpg,не соответствует,,2025-07-04T12:03:43.484452,174,172,156,"[70.1086237032518, -2.141923207157892, 8.479310215213287]",,Бутон
77,69,49,2025-07-03,pictures/1751630730869_69_49.jpg,не соответствует,,2025-07-04T12:05:34.621272,177,172,153,"[70.28233185694796, -1.5277572026222708, 10.41004949695974]",,Серо-коричневый
78,70,11,2025-07-01,pictures/1751630888924_70_11.jpg,не соответствует,,2025-07-04T12:08:11.822877,181,179,156,"[72.53771990223463, -3.294339222539966, 12.00716263432351]",,Меланжевый серый
